time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-10-05T02:40:53.080Z,16.8517,-95.7622,64.46,4,mb,,76,0.873,1.22,us,us10003wf5,2016-01-04T22:29:10.040Z,"13km SSE of San Miguel Quetzaltepec, Mexico",earthquake,4.9,10,0.139,14,reviewed,us,us
2015-10-05T05:04:56.410Z,-31.7308,-71.9781,33.6,4.3,mb,,149,0.987,0.45,us,us10003kbz,2016-01-04T22:29:11.040Z,"77km W of Illapel, Chile",earthquake,5.6,7.8,0.375,2,reviewed,us,us
2015-10-05T05:59:02.880Z,-35.5274,-104.2397,10,4.8,mb,,128,24.714,0.8,us,us10003nkw,2016-02-19T01:56:48.000Z,"Southeast of Easter Island",earthquake,15.1,1.8,0.095,34,reviewed,us,us
2015-10-05T06:22:49.000Z,17.9867,-65.4572,21,2.1,Md,4,266.4,0.14193381,0.07,pr,pr15278001,2015-10-05T07:27:30.280Z,"12km S of Esperanza, Puerto Rico",earthquake,1.8,2.6,0,2,reviewed,pr,pr
2015-10-05T10:00:01.000Z,-15.7,-74.03,83,4.2,mb,,,,0.86,us,us10003kcw,2016-01-04T22:29:13.040Z,"69km ESE of Acari, Peru",earthquake,12.1,8.1,0.214,6,reviewed,lim,us
2015-10-05T13:25:32.700Z,19.1802,-64.5077,71,3.4,Md,7,273.6,0.47790373,0.21,pr,pr15278002,2016-01-04T22:29:13.040Z,"85km N of Road Town, British Virgin Islands",earthquake,3.5,4.3,0,5,reviewed,pr,pr
2015-10-05T16:33:26.780Z,-30.3035,-71.5318,34,5.9,mww,,30,0.379,0.76,us,us10003kg9,2016-02-19T01:56:51.000Z,"42km SSW of Coquimbo, Chile",earthquake,4.4,1.7,,,reviewed,us,us
2015-10-05T17:30:53.290Z,-31.0879,-72.7469,10,4.6,mb,,89,1.041,1.32,us,us10003kgn,2016-01-04T22:29:14.040Z,"157km WSW of Ovalle, Chile",earthquake,5.6,1.9,0.104,28,reviewed,us,us
2015-10-05T19:51:59.210Z,-24.1512,-67.3024,199.33,4.1,mb,,92,1.439,0.52,us,us10003nlb,2016-01-04T22:29:15.040Z,"100km W of San Antonio de los Cobres, Argentina",earthquake,9.9,14.8,0.368,2,reviewed,us,us
2015-10-05T21:15:58.300Z,17.919,-67.1305,14,2.6,Md,9,248.4,0.0880349,0.28,pr,pr15278003,2016-01-04T22:29:16.040Z,"8km SE of Pole Ojea, Puerto Rico",earthquake,1.3,1,0,6,reviewed,pr,pr
